Day,P5,P25,P50,P75,P95
206,308.4943944261314,312.30727725328063,315.1937218549941,318.30076566771965,322.1021115979865
207,308.25724399423865,312.2978265349282,315.19736119068875,318.2487450370137,322.1195727856398
208,308.31085509268775,312.31368902373293,315.15895416328226,318.197182973494,322.1798983333985
209,308.2863300251407,312.3096173143701,315.17538954354865,318.2602066612719,321.9672052558797
210,308.2493187915294,312.2970205531721,315.1719460286656,318.22822602062934,321.95620509463214
211,308.16439251740286,312.25080729800305,315.2755844623315,318.2923968000005,321.99876412867974
212,308.2766248280333,312.22005757552756,315.2361775818681,318.3872583932706,322.05133194428487
213,308.36474809304735,312.3559041159737,315.21028354731175,318.43855827163196,322.0493343576826
214,308.42925789945065,312.3648617894471,315.17203199988444,318.41555169001606,321.92370064099345
215,308.21270874961976,312.24607275885444,315.3563112219307,318.338228178236,322.04661652849296
216,308.04785645713736,312.2625921514829,315.31012694409065,318.30427398067326,321.89482363368916
217,308.3588026024921,312.4267503556813,315.2721699642908,318.3479216188985,322.0483501124447
218,308.27374281237456,312.40196412186623,315.20017415521613,318.27559301963464,321.9752392800707
219,308.33003857084896,312.4071192387744,315.24403098400245,318.32930280894124,321.9947727127957
220,308.16526101629194,312.4347540670027,315.20171548092276,318.3418732248374,322.2793236467422
221,308.25783128823684,312.26671911588477,315.172893049623,318.2901886915282,322.28026217080185
222,308.2120834778456,312.3895426136946,315.1521187621238,318.34366034345857,322.3341599303734
223,308.18647077198153,312.3444120014685,315.1814806297001,318.50252044438804,322.2664969477976
224,308.31529295318586,312.2831877020734,315.2947045570389,318.46910208482535,322.2554014689531
225,308.0573492717315,312.41278009905807,315.2444699223022,318.4921924782506,322.2845340532117
226,308.11882473122773,312.35947257823125,315.2247593610761,318.4443880498236,322.3203547657833
227,308.0604045201627,312.41228334459305,315.10188718884416,318.5346707579525,322.50159901007123
228,308.1755499211933,312.5628799688376,315.233092481497,318.5396730914497,322.4752996346029
229,308.1547013116196,312.5820042597216,315.1486143991558,318.56472434203573,322.746825774318
230,307.9750327074746,312.49520163821717,315.13884191281227,318.5443564984147,322.905170451091
231,308.04540242948457,312.4683898266937,315.2793789934485,318.47629330855864,322.8401131487153
232,308.02425065451615,312.43200078903084,315.32189875417566,318.62085166089844,322.7577079231528
233,307.83592981951267,312.6254058180316,315.25717867972674,318.6146098723488,322.79904716920447
234,307.9444805878759,312.6614243509796,315.2956295038234,318.5309257764935,322.62540206224526
235,307.5871319104881,312.51419400712405,315.2863205258657,318.53317521072023,322.45274906927614
236,307.8380498086758,312.56626917316714,315.28452206292775,318.3614061962827,322.49566415819703
237,307.79310766971355,312.61241197429865,315.2394849042902,318.45908658644623,322.77595319889343
238,307.86009136920234,312.49033446716857,315.32398195568817,318.36555795924403,322.71012974804836
239,307.86658680173485,312.48548231722873,315.370835827337,318.2587965081758,322.64733007863913
240,307.39932547833365,312.4385272459506,315.3737298551207,318.3295685638491,322.81264237754954
241,307.685089280773,312.4664897954876,315.3842906335684,318.3836923596248,322.75010134386974
242,307.5060495409849,312.3409327089227,315.34015831350894,318.4290692051794,322.8468533938437
243,307.1826726143199,312.29019460895324,315.32280286510115,318.43509628030483,322.87058176421453
244,307.3520261637417,312.2165387668735,315.3014201768535,318.4057491004702,322.75717210158
245,307.23965225313714,312.25964842862516,315.4527054897214,318.4636949669343,323.09461618092206
246,307.3025020393413,312.22842411610674,315.19926753001215,318.4330353321924,323.0867246888907
247,307.3731040056657,312.24860333916763,315.18911530620363,318.47957910130447,323.0858592097049
248,307.1184692154028,312.2040715520136,315.20537001878347,318.475198805552,322.96341689763375
249,307.1228082628444,312.3758826475439,315.2095902331945,318.5147340320661,323.2025752981884
250,307.13517428807205,312.1460510263853,315.1481293206714,318.5262323276678,323.1288376672501
251,307.2498698873157,312.27603642175967,315.2715608460461,318.5164689733477,323.3177894826678
252,307.33284477199425,312.3002771693536,315.39403713087455,318.59113277061545,323.235614732904
